Vehicle,Sold,Delivered,Trim,Stock Number,Pricing,Msrp,Mileage,Leads,Last lead,Deals,Age
2026 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9178710,60835.0000,60835.0000,3110,0,,0,280
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T73339,41350.0000,41350.0000,5990,0,,0,280
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T72927,41650.0000,41650.0000,8,0,,0,280
2025 Bentley Flying Spur,No,No,Speed Sedan,RC022748,346560.0,346560.0,102,0,,2,282
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T68533,43600.0000,43600.0000,6,1,04/14/2026 06:17:13 +00:00,1,288
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T71100,41200.0000,41200.0000,2434,0,,0,289
2025 BMW X1,No,No,xDrive28i Sports Activity Vehicle,B5392215,47050.0000,47050.0000,31,1,03/25/2026 08:15:59 +00:00,1,289
2025 BMW X3,No,No,30 xDrive Sports Activity Vehicle,B9118237,59110.0,59110.0,39,7,04/11/2026 18:55:07 +00:00,5,289
2025 BMW 2 Series,No,No,228 xDrive Gran Coupe,B7T64965,44891.0000,44891.0000,5009,0,,0,291
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T71001,42400.0,42400.0,8075,1,04/17/2026 17:46:20 +00:00,1,291
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T68295,41600.0000,41600.0000,8,1,04/07/2026 16:41:20 +00:00,1,291
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T66164,43600.0000,43600.0000,8526,1,04/22/2026 09:49:38 +00:00,2,291
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T70954,42400.0,42400.0,11231,5,04/26/2026 19:05:50 +00:00,4,291
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9110369,83400.0,83400.0,32,3,11/30/2025 20:07:12 +00:00,0,292
2025 Bentley Continental,Yes,No,GT Speed Coupe,RC022128,376620.0,376620.0,179,1,04/15/2026 11:02:36 -05:00,11,293
2025 Bentley Flying Spur,No,No,Speed Sedan,RC022183,362475.0000,362475.0000,71,4,05/03/2026 15:28:22 +00:00,4,293
2025 MINI Hardtop 4 Door,No,No,Cooper S FWD,M2X51921,38560.0,38560.0,2324,5,02/16/2026 20:56:51 +00:00,2,295
2025 BMW 2 Series,No,No,230i Coupe,B8F70349,47591.0000,47591.0000,1513,2,04/19/2026 08:00:17 +00:00,3,296
2025 BMW 2 Series,No,No,230i Coupe,B8F69893,47891.0,47891.0,8,12,04/16/2026 17:04:53 +00:00,5,296
2025 BMW 2 Series,No,No,230i Coupe,B8F67605,49991.0000,49991.0000,6362,3,04/20/2026 14:13:14 +00:00,3,312
2026 BMW 8 Series,No,No,840i Coupe,BCV52383,98550.0,98550.0,6,6,04/17/2026 17:37:33 +00:00,6,313
2026 BMW X7,No,No,ALPINA XB7 Sports Activity Vehicle,B9059647,162075.0000,162075.0000,35,2,04/24/2026 15:40:13 +00:00,2,334
2026 MINI Hardtop 2 Door,No,No,Cooper FWD,M2X68389,35140.0,35140.0,1114,1,11/08/2025 20:13:17 +00:00,1,335
2026 MINI Hardtop 2 Door,No,No,Cooper S FWD,M2X69137,38140.0000,38140.0000,15,0,,1,335
2026 MINI Hardtop 2 Door,No,No,John Cooper Works FWD,M2X67352,44375.0,44375.0,27,4,03/27/2026 20:39:30 +00:00,4,335
2026 BMW X5,No,No,sDrive40i Sports Activity Vehicle,B9110037,80700.0000,80700.0000,10,0,,0,340
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T14677,45650.0000,45650.0000,4187,0,,0,344
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T14667,43650.0000,43650.0000,548,1,04/19/2026 08:00:17 +00:00,1,344
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T22798,43650.0000,43650.0000,7685,1,02/20/2026 13:46:52 +00:00,1,347
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T25186,40250.0000,40250.0000,3157,1,04/08/2026 11:19:35 +00:00,2,349
2026 BMW 2 Series,No,No,228 Gran Coupe,B7T25328,42250.0,42250.0,5867,17,04/06/2026 19:03:03 +00:00,6,349
2026 BMW iX,Yes,No,xDrive60 Sports Activity Vehicle,BCV00505,92950.0,92950.0,5,5,02/27/2026 14:05:42 +00:00,2,363
2023 Tesla Model X,No,No,AWD,B9Y52931A,59736.0000,59736.0000,15074,0,,0,368
2026 BMW 8 Series,No,No,840i Coupe,BCV00607,0.0,0.0,6,9,02/23/2026 20:32:03 +00:00,2,373
2020 Rolls-Royce Cullinan,Yes,Yes,Sport Utility,RPU114608,297891.0,297891.0,12119,0,,1,376
2025 MINI Hardtop 2 Door,No,No,Cooper S FWD,M2X08481,37810.0000,37810.0000,2158,1,04/05/2026 22:28:30 +00:00,1,385
2025 MINI Hardtop 2 Door,No,No,Cooper S FWD,M2X13128,37810.0000,37810.0000,1400,3,04/05/2026 22:28:30 +00:00,3,385
2025 MINI Hardtop 2 Door,Yes,Yes,Cooper S FWD,M2X07667,37810.0,37810.0,3007,11,04/15/2026 19:15:26 +00:00,3,385
2025 MINI Hardtop 4 Door,No,No,Cooper S FWD,M2X07313,39810.0000,39810.0000,2888,1,04/17/2026 23:05:47 +00:00,1,386
2025 MINI Hardtop 4 Door,No,No,Cooper S FWD,M2X07991,37110.0,37110.0,1458,12,03/08/2026 06:35:17 +00:00,3,386
2025 BMW 3 Series,No,Yes,330i Sedan,B8F40871,50100.0,50100.0,8209,4,04/29/2026 22:27:58 +00:00,4,396
2025 BMW X5,No,No,M60i Sports Activity Vehicle,B9Z94546,98325.0000,98325.0000,5045,1,03/16/2026 12:40:53 +00:00,2,398
2025 MINI Hardtop 4 Door,No,No,Cooper S FWD,M2X04150,37775.0,37775.0,2114,1,03/22/2026 08:34:51 -05:00,1,425
2025 MINI Hardtop 4 Door,No,No,Cooper S FWD,M2X05740,37075.0000,37075.0000,2757,0,,0,426
2025 MINI Hardtop 4 Door,No,No,Cooper S FWD,M2X04723,37310.0000,37310.0000,2648,1,03/29/2026 15:19:22 +00:00,3,426
2025 BMW X7,No,No,ALPINA XB7 Sports Activity Vehicle,B9Z45689,156795.0,156795.0,3663,3,11/27/2025 05:28:27 +00:00,2,443
2025 BMW X7,No,No,ALPINA XB7 Sports Activity Vehicle,B9Y79463,156845.0000,156845.0000,37,0,,3,531
2025 MINI Hardtop 2 Door,No,No,Cooper S FWD,M2W55273,36890.0000,36890.0000,4719,0,,2,567
2024 BMW 2 Series,No,No,228i Gran Coupe,B7R41714,45895.0000,45895.0000,1565,0,,0,590
2024 BMW 2 Series,No,No,228i Gran Coupe,B7R40656,36891.0000,36891.0000,10531,1,05/01/2026 08:09:35 +00:00,1,595
2024 BMW 2 Series,No,No,228i Gran Coupe,B7R41498,42705.0,42705.0,6745,7,04/30/2026 20:41:57 +00:00,3,595
2024 MINI Countryman,No,No,Cooper S FWD,MP3R40961,38425.0000,38425.0000,3500,0,,0,609
2024 MINI Countryman,No,No,Cooper S ALL4,MP3R68594,38146.0000,38146.0000,3925,0,,0,609
2024 MINI Countryman,No,No,Cooper S FWD,MP3R60225,37364.0000,37364.0000,4291,0,,0,609
2024 MINI Countryman,No,No,Cooper S FWD,MP3R36412,37408.0000,37408.0000,5120,0,,0,609
2024 MINI Countryman,No,No,Cooper S ALL4,MP3R52688,0.0000,0.0000,3578,0,,0,609
2025 MINI Hardtop 2 Door,No,No,Cooper S FWD,M2W31231,37875.0000,37875.0000,788,0,,0,616
2024 BMW 2 Series,No,No,M235i xDrive Gran Coupe,B7R17200,56175.0000,56175.0000,472,0,,0,634
2024 BMW X1,No,No,xDrive28i Sports Activity Vehicle,B5Z82895,41895.0000,41895.0000,8799,0,,0,681
2024 BMW iX,No,No,xDrive50 Sports Activity Vehicle,BCR57594,105988.0000,105988.0000,4313,0,,0,796
2024 BMW i7,No,No,xDrive60 Sedan,BCR16064,103478.0000,103478.0000,44319,1,03/29/2026 17:07:05 +00:00,2,862
2024 MINI Countryman,No,No,Cooper S FWD,M3R35977,0.0000,0.0000,4625,2,03/29/2026 12:44:57 +00:00,2,1078
2019 BMW X5,No,No,xDrive40i Sports Activity Vehicle,BCX34975B,0.0,0.0,46818,0,,0,
2017 Bentley Bentayga,No,No,W12 AWD,BPC015486Z,0.0,0.0,74587,0,,0,
2019 Mercedes-Benz G-Class,No,No,AMG G 63 4MATIC SUV,B9290895A,0.0,0.0,62905,0,,0,
2027 MINI Countryman,No,No,Cooper S ALL4,M7V70844,44340.0,44340.0,6,0,,0,
2027 MINI Countryman,No,No,John Cooper Works ALL4,M7V74491,50040.0,50040.0,6,0,,0,
2027 BMW 5 Series,No,No,540i xDrive Sedan,4879217,83615.0,83615.0,0,0,,0,
2027 MINI Countryman,No,No,Cooper S ALL4,M7V62803,44340.0,44340.0,8,0,,0,
2027 MINI Countryman,No,No,Cooper S ALL4,M7V61777,44650.0,44650.0,10,0,,0,
2024 BMW 4 Series,No,No,430i Gran Coupe,BFW68482A,0.0,0.0,40204,0,,0,
2021 BMW 3 Series,No,No,330i Sedan North America,B8F85808A,0.0,0.0,0,0,,0,
2023 BMW 5 Series,No,No,530i Sedan,BCW95315A,0.0,0.0,26704,0,,0,
2021 Chevrolet Corvette,No,No,2dr Stingray Cpe w/3LT,BP5119553,0.0,0.0,31243,0,,0,
2019 Jeep Grand Cherokee,No,No,Limited 4x2,M2X90856A,0.0000,0.0000,78114,0,,0,
2019 MINI Hardtop 2 Door,No,No,Cooper FWD,M2Y05445A,0.0000,0.0000,93469,0,,0,
2023 Genesis G70,No,No,2.0T RWD,BFW53428A,0.0000,0.0000,0,0,,0,
2017 Audi Q7,No,No,3.0 TFSI Premium Plus,B9398000B,0.0000,0.0000,119926,0,,0,
2021 Audi Q3,No,No,S line Premium Plus 45 TFSI quattro,B9399968B,0.0000,0.0000,0,0,,0,
2025 Honda Civic Sedan Hybrid,No,No,Sport CVT,B9404651B,0.0000,0.0000,32046,0,,0,
2024 Cadillac XT4,No,No,FWD 4dr Luxury,M7V46808A,0.0000,0.0000,35452,0,,0,
2023 Honda Ridgeline,No,No,RTL-E AWD,M7V44731A,0.0000,0.0000,33839,0,,0,
2019 Mercedes-Benz C-Class,No,No,C 300 Sedan,B9454826A,0.0000,0.0000,46163,0,,0,
2017 Mercedes-Benz GLC,No,No,GLC 300 SUV,B9440788A,0.0000,0.0000,26252,0,,0,
2024 BMW X4,No,No,xDrive30i Sports Activity Coupe,B9433849A,0.0000,0.0000,42819,0,,0,
2024 Honda Accord Hybrid,No,No,Sport-L Sedan,BP8F38720A,0.0000,0.0000,31072,0,,0,
2020 Mercedes-Benz C-Class,No,No,C 300 Sedan,BP9151100A,0.0000,0.0000,35443,0,,0,
2017 Mercedes-Benz Sprinter Cargo Van,No,No,"2500 High Roof V6 170"" RWD",HP549269,0.0000,0.0000,223737,0,,0,
2017 Cadillac XT5,No,No,FWD 4dr Luxury,BCX33391B,0.0000,0.0000,86846,0,,0,
2023 INFINITI Q50,No,No,LUXE RWD,BCX56873A,0.0000,0.0000,21806,0,,0,
2022 BMW 3 Series,No,No,330i Sedan North America,BFW59364A,0.0000,0.0000,53040,0,,0,
2023 Dodge Charger,No,No,R/T RWD,BCX02608B,0.0000,0.0000,13273,0,,0,
2024 Jeep Wagoneer,No,No,Series II Carbide 4x4,B9439981B,0.0000,0.0000,28239,0,,0,
2024 Acura MDX,No,No,SH-AWD w/A-Spec Package,B9380131A,0.0000,0.0000,25330,0,,0,
2016 Buick Verano,No,No,4dr Sdn w/1SD,BP7T82443A,0.0000,0.0000,133228,0,,0,
2021 Audi RS 5 Coupe,No,No,2.9 TFSI quattro,BFW46925B,0.0000,0.0000,0,0,,0,
2024 BMW iX,No,No,xDrive50 Sports Activity Vehicle,LPCN01806,0.0000,0.0000,19457,0,,0,
2023 Cadillac XT4,No,No,FWD 4dr Premium Luxury,BP7T90663A,0.0000,0.0000,16662,0,,0,
2019 Hyundai Tucson,No,No,SE AWD,BPU013424,0.0000,0.0000,40259,0,,0,
2025 Honda Pilot,No,No,EX-L 2WD,B9386457B,0.0000,0.0000,0,0,,0,
2024 Honda Accord Hybrid,No,No,Sport-L Sedan,BFW38627A,0.0000,0.0000,10471,0,,0,
2023 Ram 1500,No,No,"Big Horn 4x4 Quad Cab 6'4"" Box",B9436776B,0.0000,0.0000,0,0,,0,
2024 Lexus IS,No,No,IS 350 F SPORT RWD,B8G02868A,0.0000,0.0000,0,0,,0,
2026 BENTLEY CONTINENTAL CONVERTIBLE GT,No,No,,RC029229,0.0,0.0,26,0,,0,
2023 MINI Hardtop 4 Door,No,No,Cooper S FWD,BP2U09752,0.0,0.0,21048,0,,0,
2024 BMW X5,Yes,Yes,sDrive40i Sports Activity Vehicle,LP9S70893,0.0,0.0,54609,0,,0,
2024 Mercedes-Benz GLC,No,No,GLC 300 4MATIC SUV,B9441139A,0.0,0.0,23400,0,,0,
2026 Rolls-Royce Ghost,No,No,Black Badge Sedan,RU235166,0.0,0.0,30,0,,0,
2024 MINI Convertible,No,No,Cooper S FWD,LP3R33890,0.0,0.0,4496,1,05/05/2026 18:09:06 +00:00,1,
2027 MINI Countryman,No,No,Cooper S ALL4,M7V69428,43540.0,43540.0,6,0,,1,
